,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Inflation,0.0225,0.0226,0.0125,0.0225,1,U.S. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Cash,0.02,0.02,0.005,0.02,0.08,1,U.S. Intermediate Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries,0.03,0.0307,0.0375,0.0225,-0.17,0.23,1,U.S. Long Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries,0.025,0.0328,0.1275,0.02,-0.23,0.04,0.78,1,TIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS,0.0275,0.029,0.055,0.035,0.07,0.07,0.65,0.51,1,U.S. Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds,0.0325,0.0332,0.0375,0.03,-0.12,0.1,0.81,0.78,0.78,1,U.S. Short Duration Government/Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Short Duration Government/Credit,0.035,0.0352,0.02,0.0325,-0.09,0.41,0.76,0.41,0.67,0.74,1,U.S. Long Duration Government/Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Duration Government/Credit,0.0325,0.0368,0.095,0.0325,-0.17,0,0.68,0.89,0.64,0.91,0.5,1,U.S. Inv Grade Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds,0.035,0.0367,0.06,0.0325,-0.12,-0.04,0.41,0.46,0.64,0.82,0.6,0.79,1,U.S. Long Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Corporate Bonds,0.0375,0.0423,0.1,0.0375,-0.16,-0.06,0.39,0.58,0.57,0.81,0.47,0.88,0.96,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0525,0.0559,0.085,0.0575,0.12,-0.1,-0.26,-0.27,0.31,0.19,0.15,0.12,0.57,0.47,1,U.S. Leveraged Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans,0.05,0.0528,0.0775,0.05,0.32,-0.14,-0.5,-0.46,0.06,-0.07,-0.1,-0.1,0.33,0.24,0.8,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.025,0.0254,0.03,0.0175,-0.26,0.1,0.83,0.85,0.52,0.81,0.58,0.8,0.52,0.56,-0.19,-0.42,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.025,0.0271,0.065,0.02,-0.01,0.13,0.66,0.48,0.66,0.71,0.68,0.59,0.58,0.54,0.17,-0.14,0.58,1,World ex-U.S. Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds hedged,0.0225,0.0229,0.03,0.0175,-0.27,0.07,0.71,0.75,0.43,0.72,0.5,0.72,0.5,0.54,-0.14,-0.36,0.97,0.51,1,World ex-U.S. Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds,0.0225,0.0256,0.08,0.02,0.02,0.11,0.56,0.37,0.61,0.62,0.62,0.5,0.55,0.5,0.24,-0.07,0.48,0.99,0.42,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0525,0.057,0.0975,0.055,0,-0.02,0.22,0.16,0.58,0.6,0.46,0.5,0.76,0.68,0.72,0.4,0.28,0.55,0.29,0.57,1,Emerging Markets Local Currency Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Currency Debt,0.0625,0.0694,0.1225,0.065,0.12,0.12,0.15,0.02,0.46,0.41,0.41,0.31,0.56,0.48,0.61,0.3,0.14,0.59,0.13,0.63,0.82,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0525,0.0557,0.0825,0.055,0.05,-0.06,0.1,0.02,0.5,0.51,0.45,0.4,0.78,0.67,0.75,0.54,0.13,0.43,0.14,0.46,0.89,0.73,1,U.S. Muni 1-15 Yr Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Muni 1-15 Yr Blend,0.025,0.0255,0.0325,0.025,-0.06,0.03,0.46,0.47,0.52,0.66,0.45,0.57,0.58,0.53,0.26,0.1,0.52,0.43,0.49,0.38,0.51,0.27,0.39,1,U.S. Muni High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Muni High Yield,0.045,0.0473,0.07,0.0425,0.21,-0.12,0,0.06,0.31,0.3,0.08,0.27,0.41,0.34,0.43,0.54,0.11,0.1,0.13,0.11,0.43,0.23,0.39,0.59,1,U.S. Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap,0.055,0.0641,0.14,0.0625,0.05,-0.06,-0.31,-0.35,0.06,0,-0.04,-0.03,0.27,0.23,0.69,0.55,-0.24,0.14,-0.18,0.21,0.52,0.59,0.55,-0.01,0.2,1,U.S. Mid Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Mid Cap,0.0575,0.0693,0.16,0.0675,0.07,-0.08,-0.34,-0.35,0.07,-0.01,-0.05,-0.04,0.29,0.24,0.74,0.59,-0.26,0.1,-0.2,0.17,0.52,0.58,0.56,0.01,0.21,0.96,1,U.S. Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Small Cap,0.0575,0.0735,0.1875,0.07,0.04,-0.08,-0.37,-0.38,-0.02,-0.1,-0.12,-0.11,0.18,0.15,0.65,0.51,-0.29,0.03,-0.23,0.1,0.42,0.51,0.46,-0.08,0.09,0.9,0.95,1,U.S. Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap Value,0.0575,0.0675,0.1475,0.0625,0.04,-0.07,-0.32,-0.35,0.02,-0.02,-0.05,-0.04,0.26,0.22,0.68,0.53,-0.23,0.13,-0.17,0.2,0.5,0.59,0.54,-0.03,0.17,0.98,0.95,0.91,1,U.S. Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap Growth,0.0525,0.0619,0.1425,0.0625,0.07,-0.06,-0.32,-0.36,0.09,0,-0.04,-0.04,0.28,0.22,0.71,0.58,-0.26,0.12,-0.2,0.2,0.52,0.57,0.55,0.02,0.22,0.98,0.96,0.89,0.92,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.0675,0.0891,0.22,0.0725,0.04,0.03,-0.21,-0.3,0.14,0.09,0.12,0.02,0.36,0.29,0.69,0.5,-0.19,0.32,-0.15,0.39,0.61,0.7,0.61,0.05,0.18,0.85,0.83,0.74,0.83,0.85,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,,,,
