,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Australian Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Australian Cash,0.0275,0.0275,0.005,0.03,1,Aussie Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Aussie Aggregate,0.04,0.0406,0.035,0.0375,0.06,1,Australian I-L Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Australian I-L Bonds,0.035,0.0365,0.055,0.0375,-0.06,0.65,1,U.S. Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds hedged,0.04,0.0411,0.0475,0.04,-0.07,0.55,0.48,1,U.S. Inv Grade Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds hedged,0.0425,0.0448,0.07,0.0425,-0.14,0.35,0.33,0.87,1,U.S. High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds hedged,0.06,0.0638,0.09,0.0675,-0.18,-0.17,0.06,0.28,0.55,1,U.S. Leveraged Loans upper tier hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans upper tier hedged,0.05,0.0517,0.06,0.0525,-0.14,-0.12,-0.06,0.07,0.34,0.63,1,Euro Inv Grade Corp Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Inv Grade Corp Bonds hedged,0.035,0.0365,0.055,0.04,-0.22,0.24,0.19,0.58,0.79,0.55,0.4,1,European High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds hedged,0.05,0.0545,0.0975,0.0625,-0.24,-0.29,-0.06,0.01,0.37,0.82,0.62,0.55,1,Global Corporate hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global Corporate hedged,0.04,0.0417,0.06,0.0425,-0.16,0.24,0.26,0.66,0.85,0.48,0.29,0.75,0.43,1,Global Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global Corporate,0.04,0.0463,0.115,0.035,-0.05,0.58,0.31,0.12,0.04,-0.31,-0.18,0.05,-0.23,0.09,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.0325,0.033,0.0325,0.0275,-0.05,0.72,0.46,0.75,0.57,-0.12,-0.05,0.48,-0.23,0.46,0.29,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.0325,0.0391,0.1175,0.0225,0.04,0.67,0.33,0.13,-0.11,-0.48,-0.33,-0.15,-0.47,-0.19,0.86,0.41,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt hedged,0.06,0.0647,0.1,0.065,-0.1,0.1,0.14,0.55,0.72,0.63,0.37,0.6,0.48,0.79,-0.21,0.29,-0.42,1,Emerging Markets Local Currency Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Currency Debt,0.07,0.0726,0.075,0.0675,0.03,0.51,0.29,0.3,0.25,0.03,-0.05,0.22,-0.04,0.3,0.59,0.37,0.48,0.26,1,Emerging Markets Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,
