,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Canadian Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Canadian Inflation,0.0225,0.0226,0.0125,0.0175,1,Canada T-Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Canada T-Bill,0.0175,0.0175,0.005,0.02,-0.07,1,Canada Universe Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Canada Universe Bond,0.0275,0.0279,0.0275,0.0225,0.06,-0.03,1,Canada LT Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Canada LT Universe,0.0325,0.0349,0.07,0.025,-0.04,0.02,0.74,1,Canada Real Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Canada Real Return,0.02,0.0227,0.075,0.0275,0.09,0,0.63,0.68,1,U.S. Intermediate Treasuries hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries hedged,0.0275,0.0282,0.0375,0.0225,-0.04,0.22,0.43,0.62,0.31,1,U.S. Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds hedged,0.03,0.0307,0.0375,0.03,0,0.08,0.69,0.8,0.48,0.82,1,U.S. High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds hedged,0.05,0.0534,0.085,0.0575,0.07,-0.15,0.35,0.06,0.17,-0.27,0.18,1,U.S. Leveraged Loans upper tier hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans upper tier hedged,0.04,0.0425,0.0725,0.0425,0.08,-0.13,0.3,0.14,0.17,-0.35,0.08,0.74,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.0225,0.0229,0.03,0.0175,-0.15,0.14,0.52,0.75,0.37,0.83,0.82,-0.19,-0.22,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.0175,0.0226,0.1025,0.0075,-0.13,0.15,0.29,0.52,0.22,0.64,0.44,-0.44,-0.36,0.62,1,World ex-U.S. Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds hedged,0.02,0.0204,0.03,0.0175,-0.2,0.11,0.5,0.69,0.35,0.71,0.73,-0.15,-0.18,0.97,0.56,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
