,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Swiss Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Swiss Inflation,0.0075,0.0076,0.0125,0.0075,1,Swiss Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Swiss Cash,0,0,0.005,0,0.09,1,U.S. Intermediate Treasuries hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries hedged,0.01,0.0106,0.035,0.0025,-0.2,0.29,1,U.S. Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds hedged,0.0125,0.0131,0.035,0.01,-0.18,0.13,0.81,1,U.S. Short Duration Government/Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Short Duration Government/Credit hedged,0.015,0.0152,0.02,0.0125,-0.14,0.37,0.76,0.76,1,Euro Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Government Bonds hedged,0.0025,0.0034,0.0425,0.0025,-0.22,0.09,0.55,0.61,0.39,1,Euro Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Aggregate Bonds hedged,0.005,0.0058,0.04,0.005,-0.22,0.05,0.52,0.65,0.46,0.97,1,U.S. Inv Grade Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds hedged,0.015,0.0168,0.06,0.0125,-0.14,0,0.41,0.82,0.62,0.46,0.58,1,Euro Inv Grade Corp Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Inv Grade Corp Bonds hedged,0.0075,0.0086,0.0475,0.01,-0.11,-0.13,0.15,0.53,0.41,0.57,0.72,0.78,1,U.S. High Yield hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield hedged,0.0325,0.036,0.085,0.0375,0.02,-0.2,-0.27,0.19,0.17,-0.09,0.05,0.56,0.57,1,European High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds hedged,0.0225,0.0266,0.0925,0.0325,0.03,-0.25,-0.36,0.09,0.1,-0.03,0.13,0.51,0.66,0.9,1,U.S. Leveraged Loans upper tier hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans upper tier hedged,0.0225,0.0238,0.0525,0.0225,0.02,-0.18,-0.37,0.08,-0.03,-0.16,-0.05,0.42,0.38,0.75,0.7,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.005,0.0054,0.03,-0.0025,-0.22,0.18,0.83,0.81,0.58,0.86,0.83,0.52,0.4,-0.2,-0.23,-0.24,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.0175,0.0206,0.08,0.0125,-0.06,0.05,0.23,0.18,0.05,0.39,0.36,0.02,0.07,-0.29,-0.2,-0.2,0.35,1,World ex-Euro Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-Euro Government Bonds hedged,0.005,0.0054,0.0275,-0.005,-0.18,0.23,0.9,0.83,0.62,0.64,0.6,0.48,0.22,-0.25,-0.34,-0.25,0.94,0.27,1,World ex-Euro Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-Euro Government Bonds,0.0175,0.0221,0.0975,0.0075,-0.05,0.08,0.25,0.14,0.03,0.3,0.27,-0.04,-0.02,-0.37,-0.31,-0.27,0.33,0.95,0.29,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
