,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Japan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Japan Inflation,0.01,0.01,0.01,0.01,1,Japanese Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Japanese Cash,0.0025,0.0025,,0.0075,0,1,Japanese Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Japanese Government Bonds,0.005,0.0052,0.02,0.0025,0.03,0.05,1,US Short Duration Government/Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US Short Duration Government/Credit hedged,0.0175,0.0177,0.02,0.02,-0.16,0.34,0.38,1,US Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US Aggregate Bonds,0.0175,0.0219,0.095,0.02,0.07,-0.12,-0.26,-0.3,1,US Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US Aggregate Bonds hedged,0.015,0.0156,0.035,0.0175,-0.14,0.07,0.47,0.74,-0.17,1,US High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US High Yield Bonds,0.0375,0.0461,0.135,0.0475,0.1,-0.07,-0.35,-0.28,0.76,-0.24,1,US High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US High Yield Bonds hedged,0.035,0.0385,0.085,0.045,0.02,0.01,-0.1,0.12,0.08,0.18,0.66,1,US Leveraged Loans upper tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US Leveraged Loans upper tier,0.0275,0.0359,0.1325,0.0325,0.1,-0.12,-0.37,-0.45,0.93,-0.38,0.87,0.25,1,US Leveraged Loans upper tier hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US Leveraged Loans upper tier hedged,0.025,0.0262,0.05,0.03,0.02,0.02,-0.12,-0.05,0.3,0.08,0.67,0.75,0.52,1,Euro Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Aggregate Bonds,0.0125,0.0207,0.13,0.0175,0.12,-0.06,-0.15,-0.03,0.64,-0.04,0.64,0.33,0.62,0.35,1,Euro Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Aggregate Bonds hedged,0.0075,0.0083,0.04,0.0125,-0.11,-0.03,0.36,0.37,0.05,0.63,-0.07,0.08,-0.15,-0.05,0.08,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.01,0.0124,0.07,0.01,0.09,-0.08,-0.11,-0.1,0.83,-0.02,0.68,0.19,0.76,0.3,0.93,0.13,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.0075,0.0079,0.03,0.005,-0.13,0.01,0.65,0.52,-0.14,0.81,-0.4,-0.16,-0.4,-0.22,-0.12,0.83,-0.03,1,World ex-Japan Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-Japan Government Bonds,0.01,0.0147,0.0975,0.0125,0.09,-0.08,-0.19,-0.12,0.84,-0.06,0.7,0.2,0.77,0.31,0.94,0.1,1,-0.08,1,World ex-Japan Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-Japan Government Bonds hedged,0.0075,0.0081,0.035,0.0075,-0.14,-0.01,0.52,0.5,-0.11,0.81,-0.37,-0.16,-0.37,-0.22,-0.1,0.86,-0.01,0.99,-0.05,1,Global Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global Aggregate Bonds,0.0125,0.0156,0.08,0.015,0.09,-0.09,-0.21,-0.17,0.89,-0.1,0.79,0.27,0.85,0.38,0.91,0.08,0.98,-0.14,0.99,-0.11,1,Global Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global Aggregate Bonds hedged,0.01,0.0104,0.03,0.0125,-0.15,-0.01,0.57,0.61,-0.11,0.92,-0.21,0.14,-0.32,0.03,-0.02,0.85,0.02,0.93,-0.02,0.93,-0.06,1,Global ex-Japan Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global ex-Japan Aggregate Bonds,0.015,0.0196,0.0975,0.02,0.09,-0.09,-0.25,-0.19,0.89,-0.12,0.79,0.27,0.85,0.38,0.91,0.06,0.98,-0.17,0.98,-0.14,1,-0.08,1,Global ex-Japan Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global ex-Japan Aggregate Bonds hedged,0.01,0.0105,0.0325,0.015,-0.16,-0.02,0.48,0.59,-0.08,0.92,-0.18,0.17,-0.3,0.05,0,0.86,0.04,0.91,0,0.92,-0.03,0.99,-0.05,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0375,0.0461,0.135,0.045,0.08,-0.06,-0.25,-0.16,0.85,-0.05,0.88,0.47,0.85,0.53,0.75,0.12,0.82,-0.16,0.83,-0.12,0.89,0,0.89,0.03,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt hedged,0.035,0.0393,0.095,0.0425,-0.03,0.07,0.14,0.46,-0.02,0.59,0.31,0.71,-0.03,0.48,0.34,0.4,0.21,0.3,0.21,0.3,0.21,0.55,0.2,0.57,0.45,1,Emerging Markets Local Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Debt,0.0475,0.057,0.1425,0.055,0.1,0,-0.21,-0.01,0.59,0,0.74,0.53,0.61,0.48,0.8,0.05,0.76,-0.17,0.78,-0.15,0.8,-0.01,0.8,0.02,0.83,0.55,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0375,0.0458,0.1325,0.045,0.07,-0.08,-0.33,-0.2,0.88,-0.14,0.9,0.43,0.89,0.51,0.71,0.05,0.8,-0.26,0.81,-0.23,0.88,-0.1,0.88,-0.07,0.96,0.31,0.77,1,Emerging Markets Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds hedged,0.035,0.0383,0.0825,0.0425,-0.06,0.07,0.02,0.44,0.05,0.5,0.39,0.75,0.06,0.53,0.33,0.33,0.21,0.15,0.21,0.15,0.24,0.44,0.24,0.47,0.46,0.89,0.54,0.45,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.0475,0.0632,0.185,0.0475,0.08,-0.21,-0.34,-0.24,0.6,-0.2,0.76,0.49,0.68,0.52,0.62,-0.04,0.63,-0.34,0.65,-0.31,0.7,-0.17,0.71,-0.14,0.71,0.27,0.72,0.74,0.36,1,Japanese Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Small Cap,0.0525,0.0654,0.1675,0.0525,0.09,-0.24,-0.21,-0.25,0.53,-0.14,0.64,0.41,0.6,0.45,0.56,-0.01,0.57,-0.24,0.58,-0.23,0.62,-0.1,0.63,-0.08,0.62,0.23,0.62,0.66,0.35,0.92,1,US Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,US Large Cap,0.04,0.0563,0.1875,0.0525,0.19,-0.2,-0.34,-0.3,0.67,-0.25,0.85,0.52,0.76,0.51,0.69,-0.08,0.69,-0.37,0.71,-0.34,0.76,-0.22,0.77,-0.19,0.79,0.27,0.75,0.81,0.35,0.8,0.69,1,US Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
