,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Mexican Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Mexican Inflation,0.0325,0.0326,0.0125,0.0325,1,Mexican Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Mexican Cash,0.0475,0.0475,0.005,0.0425,0.15,1,Mexican Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Mexican Bonds,0.07,0.0704,0.0275,0.0625,0.02,0.35,1,U.S. Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds,0.02,0.0267,0.1175,0.0175,-0.03,-0.1,-0.27,1,U.S. Inv Grade Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds,0.0225,0.0294,0.12,0.02,-0.05,-0.12,-0.21,0.95,1,U.S. Long Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Corporate Bonds,0.025,0.034,0.1375,0.025,-0.07,-0.16,-0.08,0.83,0.94,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.04,0.0448,0.1,0.045,-0.14,-0.16,-0.21,0.6,0.71,0.69,1,U.S. Leveraged Loans upper tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans upper tier,0.03,0.0369,0.12,0.03,-0.05,-0.18,-0.44,0.91,0.89,0.75,0.76,1,Euro Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Government Bonds,0.0125,0.0187,0.1125,0.0125,0,-0.04,-0.13,0.65,0.64,0.59,0.38,0.53,1,Euro Inv Grade Corp Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Inv Grade Corp Bonds,0.0175,0.0236,0.1125,0.02,-0.04,-0.08,-0.16,0.52,0.59,0.57,0.48,0.48,0.94,1,European High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,
