,,Compound Return 2017 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2018 (%),Swedish Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Swedish Cash,0.0125,0.0125,0.005,0.01,1,Swedish Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Swedish Government Bonds,0.0125,0.0135,0.045,0.01,0.21,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.005,0.0097,0.0975,,0.2,0.71,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.0175,0.018,0.0325,0.0075,0.24,0.74,0.53,1,Global/World Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global/World Credit hedged,0.025,0.0258,0.04,0.0225,0,0.33,0.05,0.63,1,Global/World Credit,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global/World Credit,0.0125,0.0189,0.115,,0.1,0.56,0.88,0.31,0.02,1,US High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US High Yield Bonds hedged,0.045,0.0484,0.085,0.0475,-0.16,-0.33,-0.47,-0.13,0.54,-0.32,1,US High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,US High Yield Bonds,0.0325,0.0383,0.11,,-0.1,0.19,0.45,-0.03,0.17,0.71,0.33,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt hedged,0.045,0.0495,0.0975,0.045,-0.01,0.06,-0.23,0.31,0.78,-0.26,0.71,0.08,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0325,0.0405,0.13,,0.03,0.49,0.71,0.28,0.25,0.84,0,0.82,0.18,1,Swedish Equities ,,,,,,,,,,,,,,,,,,,,
Equities,Swedish Equities ,0.0625,0.0739,0.1575,0.06,-0.23,-0.26,-0.4,-0.14,0.35,-0.19,0.58,0.23,0.47,0.05,1,US Large Cap,,,,,,,,,,,,,,,,,,,
Equities,US Large Cap,0.035,0.0418,0.12,,-0.26,-0.06,0.04,-0.14,0.12,0.3,0.36,0.64,0.15,0.43,0.56,1,US Large Cap hedged,,,,,,,,,,,,,,,,,,
