,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),UK Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,UK Inflation,0.02,0.0201,0.0125,0.02,1,UK Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,UK Cash,0.0175,0.0175,0.0075,0.0175,-0.09,1,U.S. Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds hedged,0.03,0.0307,0.0375,0.0275,-0.19,0.16,1,Euro Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Aggregate Bonds hedged,0.0225,0.0232,0.0375,0.0225,-0.19,0.06,0.66,1,U.S. Inv Grade Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds hedged,0.0325,0.0342,0.06,0.03,-0.16,0.03,0.82,0.59,1,Euro Inv Grade Corp Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Inv Grade Corp Bonds hedged,0.025,0.026,0.045,0.0275,-0.09,-0.09,0.53,0.72,0.78,1,UK Inv Grade Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,UK Inv Grade Corporate Bonds,0.025,0.0279,0.0775,0.025,-0.01,-0.16,0.57,0.56,0.75,0.77,1,U.S. High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds hedged,0.05,0.0534,0.085,0.055,0.03,-0.12,0.18,0.04,0.55,0.56,0.43,1,European High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds,0.0375,0.0433,0.11,0.0425,-0.01,-0.06,0.24,0.13,0.52,0.51,0.46,0.77,1,U.S. Leveraged Loans hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans hedged,0.0475,0.0503,0.0775,0.0475,0.18,-0.24,-0.09,-0.14,0.3,0.41,0.33,0.79,0.56,1,Euro Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Euro Government Bonds hedged,0.02,0.0209,0.0425,0.02,-0.18,0.09,0.61,0.97,0.47,0.56,0.45,-0.1,0.03,-0.27,1,UK Gilts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,UK Gilts,0.01,0.0122,0.0675,0.01,-0.13,0.08,0.68,0.58,0.43,0.26,0.57,-0.18,-0.06,-0.35,0.6,1,I-L Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,I-L Bonds,0.005,0.0088,0.0875,0.0025,-0.1,-0.03,0.55,0.34,0.42,0.26,0.51,0.18,0.23,0.04,0.32,0.69,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.0225,0.0229,0.03,0.015,-0.21,0.19,0.82,0.83,0.53,0.39,0.44,-0.19,-0.05,-0.42,0.86,0.82,0.51,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.0175,0.0217,0.0925,0.0075,-0.23,0.22,0.49,0.43,0.19,-0.01,0.12,-0.34,0.02,-0.53,0.49,0.61,0.38,0.68,1,World ex-UK Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
