,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Korean Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Korean Inflation,0.0225,0.0226,0.0125,0.025,1,Korean Cash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Korean Cash ,0.02,0.02,0.005,0.0175,0.12,1,Korean Government Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Korean Government Bond,0.0275,0.028,0.0325,,0.15,-0.06,1,Korean Corporate Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Korean Corporate Bond,0.0325,0.0329,0.0275,,0.28,-0.06,0.64,1,U.S. Intermediate Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries,0.02,0.0281,0.13,0.02,-0.02,0.24,-0.06,0.03,1,U.S. Intermediate Treasuries hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries hedged,0.03,0.0309,0.0425,0.02,0.22,0.14,0.32,0.5,0.28,1,U.S. Long Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries,0.015,0.0292,0.1725,0.0175,-0.01,0.23,0.17,0.13,0.82,0.5,1,U.S. Long Treasuries hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries hedged,0.025,0.0325,0.125,0.0175,0.01,0.07,0.38,0.27,0.29,0.66,0.76,1,TIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS,0.0175,0.0242,0.1175,0.0325,0.06,0.18,-0.1,0.1,0.88,0.37,0.77,0.35,1,TIPS hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS hedged,0.0275,0.0294,0.0625,0.0325,0.14,-0.08,0.18,0.19,-0.17,0.46,0.08,0.43,0.19,1,U.S. Intermediate Credit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Credit ,0.025,0.0316,0.1175,0.0325,-0.04,0.13,-0.11,-0.03,0.95,0.18,0.76,0.25,0.88,-0.1,1,U.S. Intermediate Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Credit hedged,0.035,0.0363,0.0525,0.0325,0.01,-0.23,0.23,0.14,-0.25,0.3,-0.04,0.34,-0.1,0.57,-0.05,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0425,0.0466,0.0925,0.055,0.04,-0.1,-0.24,-0.11,0.58,-0.07,0.35,-0.05,0.63,-0.09,0.75,0.11,1,U.S. High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds hedged,0.0525,0.0561,0.0875,0.055,0.08,-0.4,-0.01,0.04,-0.6,-0.25,-0.6,-0.28,-0.41,0.29,-0.39,0.59,0.19,1,European High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds,0.035,0.041,0.1125,0.0525,0.07,-0.13,-0.36,-0.24,0.08,-0.21,-0.13,-0.27,0.15,0.01,0.27,0.37,0.58,0.46,1,European High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds hedged,0.0425,0.047,0.0975,0.05,0.09,-0.36,-0.12,-0.09,-0.49,-0.27,-0.55,-0.38,-0.35,0.12,-0.27,0.46,0.27,0.84,0.54,1,Global /World Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global /World Credit hedged,0.0325,0.0335,0.045,,0.22,-0.29,0.33,0.45,-0.32,0.48,-0.08,0.29,-0.11,0.47,-0.2,0.66,0.07,0.56,0.11,0.57,1,Global Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global Aggregate Bonds hedged,0.0275,0.0279,0.03,,0.14,0.07,0.45,0.34,0.03,0.63,0.43,0.73,0.18,0.5,0.08,0.57,-0.01,0.03,-0.09,0.02,0.6,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.015,0.0206,0.1075,0.0175,0.02,0.25,-0.04,0,0.91,0.37,0.79,0.36,0.8,-0.06,0.86,-0.12,0.52,-0.53,0.21,-0.42,-0.2,0.16,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.025,0.0275,0.0725,0.015,0.26,-0.02,0.26,0.43,-0.21,0.7,0.05,0.42,-0.05,0.5,-0.23,0.48,-0.23,0.16,0.11,0.04,0.58,0.55,0.11,1,World ex-U.S. Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds,0.0125,0.0181,0.1075,0.0175,0.09,0.22,-0.03,0.13,0.82,0.47,0.7,0.32,0.76,-0.03,0.76,-0.12,0.47,-0.48,0.23,-0.36,-0.08,0.19,0.96,0.28,1,World ex-U.S. Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds hedged,0.0225,0.0258,0.0825,0.015,0.15,-0.04,0.21,0.17,-0.33,0.5,-0.08,0.33,-0.22,0.45,-0.34,0.48,-0.31,0.2,0.15,0.11,0.47,0.45,0.06,0.91,0.21,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0425,0.0505,0.13,0.0525,0.09,0.05,-0.07,0.11,0.71,0.33,0.57,0.2,0.78,0,0.78,0.04,0.79,-0.13,0.36,0,0.14,0.23,0.71,0.05,0.72,-0.1,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
