,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility,Brazilian Inflation,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Brazilian Inflation,0.05,0.05,0.01,1,Brazilian Cash,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Brazilian Cash,0.0775,0.0775,0.005,-0.04,1,Brazilian Local Gov't Bonds,,,,,,,,,,,,,,,,,,,,
Fixed Income,Brazilian Local Gov't Bonds,0.09,0.0904,0.03,-0.11,0.29,1,Brazilian I-L Bonds,,,,,,,,,,,,,,,,,,,
Fixed Income,Brazilian I-L Bonds,0.1,0.1019,0.065,0.03,0.16,0.83,1,Global Aggregate Bonds hedged,,,,,,,,,,,,,,,,,,
Fixed Income,Global Aggregate Bonds hedged,0.0375,0.0495,0.16,0.06,0.08,-0.28,-0.38,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0625,0.07,0.1275,0.05,-0.07,-0.22,-0.23,0.75,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0625,0.0735,0.155,0.01,0.03,-0.06,-0.13,0.87,0.87,1,Emerging Markets Local Currency Debt,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Currency Debt,0.0725,0.0773,0.1025,-0.04,0.02,0.09,-0.01,0.64,0.65,0.81,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0625,0.0728,0.15,0.04,-0.02,-0.15,-0.21,0.87,0.89,0.97,0.75,1,U.S. Long Corporate Bonds,,,,,,,,,,,,,
Fixed Income,U.S. Long Corporate Bonds,0.0475,0.0597,0.1625,0.01,0.04,-0.08,-0.13,0.86,0.78,0.9,0.7,0.88,1,Brazilian Equity,,,,,,,,,,,,
Equities,Brazilian Equity,0.0675,0.0881,0.215,-0.11,-0.04,0.32,0.45,-0.66,-0.31,-0.42,-0.19,-0.43,-0.48,1,U.S. Large Cap,,,,,,,,,,,
Equities,U.S. Large Cap,0.065,0.076,0.155,0.05,-0.11,-0.23,-0.22,0.54,0.75,0.65,0.62,0.68,0.52,-0.09,1,European Large Cap,,,,,,,,,,
Equities,European Large Cap,0.075,0.0873,0.165,-0.02,-0.15,-0.11,-0.08,0.25,0.58,0.48,0.59,0.48,0.36,0.16,0.82,1,Japanese Equity,,,,,,,,,
Equities,Japanese Equity,0.0725,0.0845,0.1625,0.08,-0.11,-0.17,-0.19,0.53,0.67,0.62,0.62,0.66,0.57,-0.14,0.73,0.68,1,AC World Equity,,,,,,,,
Equities,AC World Equity,0.07,0.079,0.14,0.02,-0.14,-0.16,-0.12,0.39,0.7,0.59,0.63,0.61,0.46,0.1,0.95,0.94,0.77,1,AC Asia ex-Japan Equity,,,,,,,
Equities,AC Asia ex-Japan Equity,0.0925,0.1029,0.1525,-0.09,-0.1,-0.05,0.06,0.08,0.41,0.32,0.47,0.32,0.26,0.37,0.58,0.72,0.5,0.74,1,Emerging Markets Equity,,,,,,
Equities,Emerging Markets Equity,0.09,0.0991,0.1425,-0.09,-0.13,0,0.12,-0.04,0.32,0.22,0.44,0.22,0.13,0.54,0.55,0.74,0.45,0.74,0.95,1,Brazilian Hedge Funds,,,,,
Alts,Brazilian Hedge Funds,0.095,0.0953,0.025,0.09,0.18,0.33,0.37,-0.07,0.13,0.09,0.09,0.11,0.08,0.32,0.08,0.2,0.15,0.2,0.3,0.33,1,Diversified Hedge Funds,,,,
Alts,Diversified Hedge Funds,0.0525,0.0651,0.165,0.1,-0.01,-0.36,-0.39,0.93,0.82,0.83,0.59,0.87,0.77,-0.55,0.68,0.42,0.64,0.56,0.21,0.11,0.06,1,U.S. REITs,,,
Alts,U.S. REITs,0.0725,0.0859,0.1725,0.03,-0.05,-0.06,-0.06,0.32,0.61,0.5,0.55,0.46,0.45,-0.05,0.71,0.62,0.51,0.7,0.45,0.42,-0.01,0.34,1,Private Equity,,
Alts,Private Equity,0.0825,0.097,0.18,0.02,-0.12,-0.15,-0.14,0.35,0.6,0.51,0.54,0.52,0.4,0.03,0.82,0.82,0.63,0.85,0.58,0.58,0.13,0.49,0.6,1,Commodities,
Alts,Commodities,0.0475,0.0563,0.1375,0.05,-0.18,-0.21,-0.12,0.27,0.38,0.35,0.33,0.39,0.26,-0.07,0.37,0.37,0.27,0.4,0.23,0.27,0.13,0.39,0.16,0.33,1,Gold
Alts,Gold,0.05,0.067,0.1925,0.05,0.05,0.07,0.02,0.49,0.34,0.52,0.46,0.5,0.5,-0.25,0.13,0.05,0.14,0.1,0.03,-0.01,0.09,0.42,0.1,0.08,0.47,1
