,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Taiwan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Taiwan Inflation,0.0125,0.0125,0.01,1,Taiwan Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Taiwan Cash,0.01,0.01,0.01,-0.09,1,Taiwan Government bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Taiwan Government bond,0.0175,0.0179,0.0275,-0.15,-0.09,1,U.S. Intermediate Treas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treas,0.02,0.0216,0.0575,-0.14,-0.19,0.36,1,U.S. Intermediate Treas hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treas hedged,0.02,0.0204,0.03,-0.17,0.03,0.4,0.42,1,U.S. Long Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries,0.015,0.0248,0.1425,-0.17,-0.08,0.45,0.74,0.64,1,U.S. Long Treasuries hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries hedged,0.015,0.0229,0.1275,-0.17,-0.02,0.45,0.51,0.75,0.94,1,TIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS,0.0175,0.0194,0.0625,-0.14,-0.25,0.2,0.68,0.46,0.65,0.57,1,TIPS hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS hedged,0.0175,0.019,0.055,-0.11,-0.04,0.11,0,0.65,0.32,0.51,0.62,1,U.S. Intermediate Credit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Credit ,0.025,0.0272,0.0675,-0.11,-0.32,0.2,0.74,0.19,0.55,0.37,0.75,0.17,1,U.S. Intermediate Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Credit hedged,0.025,0.0262,0.05,-0.13,-0.12,0.16,-0.07,0.51,0.2,0.36,0.34,0.71,0.37,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0425,0.0454,0.0775,0.03,-0.16,-0.16,-0.08,-0.32,-0.15,-0.21,0.24,0.12,0.48,0.43,1,U.S. High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds hedged,0.0425,0.0459,0.085,0.03,-0.01,-0.23,-0.56,-0.2,-0.41,-0.27,-0.07,0.33,0.01,0.6,0.81,1,European High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds,0.035,0.0418,0.12,0.09,-0.12,-0.09,-0.38,-0.25,-0.38,-0.33,-0.04,0.16,0.12,0.47,0.66,0.73,1,European High Yield Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,European High Yield Bonds hedged,0.0325,0.0371,0.0975,0.1,-0.15,-0.22,-0.5,-0.36,-0.48,-0.39,-0.13,0.12,0.07,0.47,0.73,0.83,0.77,1,Global /World Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global /World Credit hedged,0.0225,0.0262,0.0875,0.11,-0.27,0,0,-0.08,-0.07,-0.09,0.24,0.2,0.37,0.41,0.49,0.39,0.64,0.52,1,Global /World Credit hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Global /World Credit hedged,0.0225,0.0232,0.0375,-0.11,-0.11,0.18,-0.07,0.46,0.29,0.44,0.31,0.64,0.37,0.94,0.43,0.57,0.43,0.49,0.39,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
